Page,0,1,2,3,4,5,6,7,8,9,10,11,12
7,,,,,,,,,,,,,
7,,,,,,,,,,,,,
7,,,,,,,,,,,,,
7,,,,,,,,,,,,,
7,,,,,,,,,,,,,
7,,,,,,,,,,,,,
7,,,,,,,,,,,,,
7,,,,,,,,,,,,,
7,,,,,,,,,,,,,
8,구분,,,,,"일반전형
고른기회전형
연세
농어촌
특성화고교
특수교육
일반계열
국제계열
체능계열
예능계열
한마음
학생
졸업자
대상자
학생",,,,,,,"◎
◎
◎
◎
◎
◎
◎
◎"
8,"지원
자격","고등학교
졸업
(예정)자","고교
유형","국내
고등
학교","일반고
자율고
특목고
특성화고
마이스터고
영재학교
국내  학력인정
외국교육기관* 
외국  소재  고등학교","◎
◎
◎
◎
◎
◎
◎
◎","◎
◎
◎
◎
◎
◎
◎
◎","◎
◎
◎
◎
◎
◎
◎
◎","◎
◎
◎
◎
◎
◎
◎
◎","◎
◎
◎
◎
◎
◎
◎
◎","◎
◎
-
-
-
-
-
-","-
-
-
◎
-
-
-
-",
8,,,"졸업
연도",,"2025년  2월
2024년  8월
및  그  이전","◎
◎","◎
◎","◎
◎","◎
◎","◎
◎","◎
◎","◎
◎","◎
◎"
8,,고등학교  졸업학력  검정고시  합격자,,,,◎,◎,◎,◎,◎,-,-,◎
9,문과대학,국어국문학과†,인문,유형  Ⅰ,46,21,-,○,○,○,-,,
9,,중어중문학과†,,,32,17,-,,,,,,
9,,영어영문학과†,,,74,39,-,,,,,,
9,,독어독문학과†,,,30,18,-,,,,,,
9,,불어불문학과†,,,33,17,-,,,,,,
9,,노어노문학과†,,,30,14,-,,,,,,
9,,사학과†,,,45,22,-,,,,,,
9,,철학과†,,,35,17,-,,,,,,
9,,문헌정보학과†,,,30,14,-,,,,,,
9,,심리학과†,,,37,16,-,,,,,,
9,상경대학,상경계열,인문,유형  Ⅰ,70,70,-,-,-,-,-,,
9,,경제학부,,,125,48,-,○,○,○,,,
9,,응용통계학과,,,41,19,-,,,,,,
9,경영대학,경영학과,인문,유형  Ⅰ,277,166,-,○,○,○,-,,
9,이과대학,수학과†,자연,유형  Ⅱ,37,16,-,○,○,○,-,,
9,,물리학과†,,,33,13,-,,,,,,
9,,화학과†,,,45,18,-,,,,,,
9,,지구시스템과학과†,,,32,14,-,,,,,,
9,,천문우주학과,,,28,10,-,,,,,,
9,,대기과학과,,,28,10,-,,,,,,
9,공과대학,화공생명공학부,자연,유형  Ⅱ,86,33,-,○,○,○,-,,
9,,전기전자공학부,,,189,86,-,,,,,,
9,,건축공학과,,,75,28,-,,,,,,
9,,도시공학과,,,35,14,-,,,,,,
9,,사회환경시스템공학부,,,75,28,-,,,,,,
9,,기계공학부,,,122,48,-,,,,,,
9,,신소재공학부,,,103,41,-,,,,,,
9,,산업공학과,,,38,16,-,,,,,,
9,,시스템반도체공학과,,,100,25,-,-,-,-,-,,
9,,디스플레이융합공학과,,,30,7,-,-,-,-,-,,
9,생명시스템대학,생명과학부†,자연,유형  Ⅱ,20,20,-,-,-,-,-,,
9,,시스템생물학과†,,,19,2,-,○,○,○,,,
9,,생화학과†,,,17,2,-,,,,,,
9,,생명공학과,,,54,20,-,,,,,,
9,인공지능융합대학,첨단컴퓨팅학부,자연,유형  Ⅱ,149,58,-,○,○,○,-,,
9,,IT융합공학전공,,,20,5,-,,,,,,
9,,지능형반도체전공,,,35,15,-,,,,,,
9,신과대학,신학과†,인문,유형  Ⅰ,47,23,-,○,○,-,-,,
9,사회과학대학,정치외교학과,인문,유형  Ⅰ,81,42,-,○,○,○,-,,
9,,행정학과,,,79,37,-,,,,,,
9,,사회복지학과,,,27,14,-,,,,,,
9,,사회학과†,,,39,17,-,,,,,,
9,,문화인류학과,,,14,5,-,,,-,,,
9,,언론홍보영상학부,,,44,21,-,,,○,,,
10,음악대학,교회음악과,예능,유형  Ⅳ,17,-,17,-,"2
‘나’군",-,"○
‘나’군",,
10,,성악과†,,,24,-,24,,,,,,
10,,피아노과†,,,20,-,20,,,,,,
10,,관현악과(현악)†,,,22,-,22,,,,,,
10,,관현악과(관악)†,,,18,-,18,,,,,,
10,,작곡과†,,,19,-,19,,,,,,
10,생활과학대학,의류환경학과†,통합,유형  Ⅲ,27,11,-,○,○,○,-,,
10,,식품영양학과†,,,26,11,-,,,,,,
10,,실내건축학과,,,25,10,-,,,,,,
10,,아동·가족학과†,,,27,11,-,,,,,,
10,,통합디자인학과,,,27,10,-,,,,,,
10,교육과학대학,교육학부†,인문,유형  Ⅰ,54,30,-,○,○,-,-,,
10,,체육교육학과†,체능,유형  Ⅲ,46,27,-,-,1,,○,,
10,,스포츠응용산업학과,,,43,24,-,1,1,,,,
10,언더우드국제대학,언더우드학부(인문·사회),국제,유형  Ⅲ,165,12,-,-,-,-,-,,
10,,언더우드학부(생명과학공학),,,,-,-,,,,,,
10,,아시아학전공,,,168,-,-,,,,,,
10,,융합인문사회과학부(HASS),,,,73,-,,,,,,
10,,융합과학공학부(ISE),,,81,22,-,,,,,,
10,글로벌인재대학,글로벌인재학부,국제,유형  Ⅲ,11,-,-,-,-,-,-,,
10,의과대학,의예과,자연,유형  Ⅱ,110,47,-,1,1,-,-,,
10,치과대학,치의예과,자연,유형  Ⅱ,60,26,-,1,1,-,-,,
10,간호대학,간호학과†,통합,유형  Ⅲ,73,37,-,○,○,○,-,,
10,약학대학,약학과,자연,유형  Ⅱ,30,12,-,3,2,-,-,,
11,인공지능융합대학,"IT융합공학전공,  지능형반도체전공",전  교육과정  국제캠퍼스  이수,,,,,,,,,,
11,언더우드국제대학,"융합인문사회과학부(HASS), 
융합과학공학부(ISE)",,,,,,,,,,,
11,약학대학,약학과,,,,,,,,,,,
11,음악대학,모든  학과,전  교육과정  신촌캠퍼스  이수,,,,,,,,,,
11,교육과학대학,"체육교육학과,  스포츠응용산업학과",1학년  2학기  이후  과정  신촌캠퍼스  이수,,,,,,,,,,
11,"0~1
2~8
9~10","1,512,000","724,000","788,000",,,,,,,,,
11,,,"232,000","1,280,000",,,,,,,,,
11,,,"184,000","1,328,000",,,,,,,,,
11,"0~1
2~8
9~10","963,200","536,000","427,200",,,,,,,,,
11,,,"124,000","839,200",,,,,,,,,
11,,,"92,000","871,200",,,,,,,,,
12,구분,,"일시
방법
비고",,,,,,,,,,
12,원서,"인터넷
원서접수","2024.12.31.(화)  10:00
      ~  2025.1.2.(목)  17:00","연세대학교  입학처  홈페이지
(http://admission.yonsei.ac.kr)",·  원서는  반드시  인터넷으로  접수,,,,,,,,
12,서류,"실물서류
제출","방문(택배)  또는  등기우편  제출
  2024.12.31.(화)  10:00
        ~  2025.1.3.(금)  17:00
(등기우편은  1.3.(금)  소인까지  유효)","(우)03722
서울특별시  서대문구  연세로  50 
연세대학교  201동(백주년기념관) 
3층  입학전형실
정시모집  담당자  앞","·  해당자(고른기회전형  지원자  등)에 
한하여  제출하며,  접수기간  내  필수 
제출서류  미제출  시  별도  통보  없
이  불합격  처리함
·    상세  내용  9~11쪽  ‘Ⅲ_2.  서류제출 
주요사항’  참조",,,,,,,,
12,,"제출서류
도착  확인",2025.1.9.(목)  17:00,연세대학교  입학처  홈페이지,"·  등기우편  서류  제출자에  한하여  우
편  도착  여부  확인",,,,,,,,
14,"국내  고등학교  졸업(예정)자  중
2016학년도  졸업자
(‘17.2.졸업)  ~  2024학년도 
(조기)졸업예정자(’25.2.졸업)","필수  제출서류  없음(원서접수  시  학교생활기록부  전산  제공  동의로  대체함)
※  학교생활기록부는  나이스  대국민서비스를  통하여  온라인으로  제출하는  것을  원칙으로  하며,  지원자는  원서
접수  시  학교생활기록부의  온라인  자료제공에  동의해야  함.  다만,  전산자료  확정  기준일(2024.11.30.)까
지  작성된  내용  중  학교생활기록부에  추가/변경사항이  있는  경우  학교장  직인이  날인되어  있는  학교생활기
록부  1부(수정  사항을  형광펜  등으로  표시하며  수기된  수정사항은  인정하지  아니함)와  온라인  제공  학교생활기록
부  수정요청서  1부([연세대학교  입학처  홈페이지(서울캠퍼스)  자료실]에서  내려받아  작성)를  제출해야  함.
※  학교생활기록부가  전산으로  미제공  되는  지원자는  반드시  실물서류로  제출해야  함",,,,,,,,,,,
14,"·  국내  고등학교  졸업자  중 
2015학년도(‘16.2.졸업) 
이전  졸업자
·  학교생활기록부  전산  미제공 
고교  출신  지원자
·  기타  온라인으로  제공할  수 
없는  자","학교장  직인이  날인되어  있는  학교생활기록부  사본  1부
(비교내신대상자는  학교생활기록부  대신  고등학교  졸업증명서도  제출  가능)
※  2004학년도  졸업자(‘05.2.졸업)  ~  2015학년도  졸업자(’16.2.졸업)의  경우  본인  희망에  따라 
‘대입전형자료(학교생활기록부)  온라인  생성신청  시스템(apply.neis.go.kr)’을  통해  대입전형자료  온라인  제공 
신청  가능.  다만,  온라인  제공을  희망하지  않거나  생성신청을  완료하지  않은  경우에는  학교생활기록부를 
반드시  실물서류로  제출해야  함",,,,,,,,,,,
14,"국내  고등학교  졸업학력
검정고시  합격자","고등학교  졸업학력  검정고시  합격증명서  1부  또는  온라인  제공  동의 
※  검정고시  대입전형자료  온라인  제공  동의  안내
1.  대입전형자료  온라인  제공을  원하는  지원자는  반드시  각  시도교육청  나이스  대국민서비스  검정고시  대입
전형  홈페이지에서  본인의  고등학교  졸업학력  검정고시  합격증명서를  확인하고  온라인  제출  신청해야  함
(신청  기간은  해당  홈페이지에서  확인)
        -  나이스  대국민서비스  검정고시  대입전형  홈페이지  주소:  http://www.neis.go.kr
        -  대입전형자료로  사용하고자  하는  검정고시  합격증을  발급한  시도교육청  나이스  대국민서비스  홈페이지에
서  확인  및  신청  가능함
        -  온라인  자료  제공을  신청하지  않은  자는  검정고시  합격증명서를  대학에  실물서류로  제출해야  함  [방문
(택배)  또는  등기우편]
2.  입학원서  작성  시  나이스  대국민서비스  검정고시  대입전형  홈페이지에서  온라인  제출  신청한  지원자는 
‘제공동의  확인번호’를  확인하여  입력해야  함
        -  온라인으로  제공되는  자료는  2016년  제1회차부터  2024년  제2회차  자료이며,  2016년  이전  검정고시 
합격증(합격증명서  포함)을  대입전형자료로  사용할  경우  온라인  제공이  되지  않으므로  방문  또는  우편 
제출함",,,,,,,,,,,
14,외국  소재  고등학교  졸업자,외국  소재  고등학교  졸업(예정)증명서  1부,,,,,,,,,,,
15,구  분,,제  출  서  류,,,,,,,,,,
15,"장애인
등록자",공통,∙  장애인증명서  1부,,,,,,,,,,
15,,"선택  서류
(택1)","∙  장애정도결정서(종전  장애등급결정서)  1부
∙  (영구  장애  관련  소견이  명시된)병원  진단서ⓐ  1부
∙  장애인등록증(원본대조)ⓑ  사본  1부
∙  고른기회전형[특수교육대상자]  지원자격  확인서ⓒ  1부
※  장애인  등록일이  2022.12.31.  이후인  경우  선택  서류제출  불필요",,,,,,,,,,
15,상이등급자,상이등급(1~6등급  이내)이  기재된  국가보훈대상자(국가유공자  등)  증명서  1부,,,,,,,,,,,
15,연세한마음학생,∙  지원자  기준  국민기초생활수급자  증명서  1부,,,,,,,,,,,
15,농어촌학생,"∙  초·중·고교  전  교육과정  농어촌  이수자
    -  학교장  지원자격  확인서  1부(우리대학교  서식)
    -  초등학교  및  중학교  학교생활기록부  각  1부
    -  지원자  주민등록표  초본  1부(주소  변동  내역  포함)
∙  중·고교  전  교육과정  농어촌  이수자
    -  학교장  지원자격  확인서  1부(우리대학교  서식)
    -  중학교  학교생활기록부  1부
    -  지원자,  부,  모  주민등록표  초본  각  1부(주소  변동  내역  포함)
    -  지원자  기준  가족관계증명서  1부
    -  아래는  해당자에  한하여  제출
        ·  부모가  이혼한  경우
            ­  지원자  기준  기본증명서(상세)  1부
            ­  지원자와  함께  거주하고  있는  부  또는  모  기준의  혼인관계증명서(상세)  1부
        ·  부모가  사망한  경우
            ­  사망한  부  또는  모의  기본증명서(상세)  또는  제적등본  1부
    -  부모의  실거주  요건  확인을  위해  별도  서류(직장  관련  서류  등)를  요청할  수  있음",,,,,,,,,,,
15,,"[농어촌학생  최종등록자  추가  제출서류]
∙  농어촌학생  자격을  갖춘  최종등록자  중  2025년  2월  졸업예정자는  고등학교  졸업  시까지  농어촌  지역에  거주
해야  하며  이를  입증하기  위한  서류를  추가로  제출해야  함
    -  제출서류
        ·  공통서류:  졸업증명서(졸업일자가  기재되어  있어야  함)  1부
        ·  초·중·고교  전  교육과정:  지원자  주민등록표  초본  1부
        ·  중·고교  전  교육과정:  지원자,  부,  모  주민등록표  초본  각  1부
    -  증명서  발급  기준일:  지원자  본인의  고등학교  졸업일  이후
    -  제출  방법:  방문  또는  등기우편(백주년기념관  3층  입학전형실로  2025.3.3.(월)까지  제출)",,,,,,,,,,,
15,특성화고교졸업자,"∙  연세대학교  지원  가능  모집단위에  해당되는  동일계열의  기준학과를  이수한  자
    -  자격별  제출서류  없음
∙  연세대학교  지원  가능  모집단위에  해당되는  동일계열의  기준학과를  이수하지  않았으나,  지원하고자  하는  모집
단위와  관련된  전문교과를  30단위  이상  이수한  자
    -  동일계열  이수  확인서  1부  ([연세대학교  입학처  홈페이지(서울캠퍼스)  자료실]에서  내려받아  작성)",,,,,,,,,,,
15,특수교육대상자,"구  분
장애인
등록자
상이등급자
ⓐ  영구  장애  관련  소견이  명시된  경우,  진단서  발급일은  별도로  제한하지  않음
ⓑ  고등학교에서  원본대조(원본대조  후  고등학교장  직인  날인)  후  사본  제출
ⓒ  [연세대학교  입학처  홈페이지(서울캠퍼스)  자료실]에서  내려받아  작성  후  제출",공통,"제  출  서  류
∙  장애인증명서  1부",,,,,,,,,
15,,,,,,,,,,,,,
15,,,,,,,,,,,,,
15,,,"선택  서류
(택1)
상이등급(1~6등급  이내)이  기재된  국가보훈대상자(국가유공자  등)  증명서  1부","∙  장애정도결정서(종전  장애등급결정서)  1부
∙  (영구  장애  관련  소견이  명시된)병원  진단서ⓐ  1부
∙  장애인등록증(원본대조)ⓑ  사본  1부
∙  고른기회전형[특수교육대상자]  지원자격  확인서ⓒ  1부
※  장애인  등록일이  2022.12.31.  이후인  경우  선택  서류제출  불필요",,,,,,,,,
15,,,,,,,,,,,,,
15,,,,,,,,,,,,,
17,구분,,,"일시
방법
비고",,,,,,,,,
17,"인터넷  원서접수
(온라인)",,,"2024.12.31.(화)  10:00
      ~  2025.1.2.(목)  17:00",연세대학교  입학처  홈페이지,·  원서는  반드시  인터넷으로  접수,,,,,,,
17,실물서류  제출,,,"방문(택배)  또는  등기우편  제출
2024.12.31.(화)  10:00
      ~  2025.1.3.(금)  17:00
등기우편  1.3.(금)  소인까지  유효","(우)03722
서울특별시  서대문구  연세로  50 
연세대학교  201동(백주년기념관)
3층  입학전형실  정시모집  담당자  앞","·  해당자에  한하여  제출하며,  접수기간 
내  필수  제출서류  미제출  시  별도  통
보  없이  불합격  처리함
·  실물서류  방문(택배)  제출  접수는         
  2025.1.1.(수)에는  운영하지  않음",,,,,,,
17,제출서류  도착  확인,,,2025.1.9.(목)  17:00,연세대학교  입학처  홈페이지,"·  등기우편  서류  제출자에  한하여  우편 
도착  여부  확인",,,,,,,
17,"예·체능계열
실기평가","체능
계열",예비소집,2025.1.8.(수),서울캠퍼스  지정  장소,"·  면접평가는  체육교육학과만  해당
·  구체적인  일정은  1.6.(월)까지
    입학처  홈페이지에  공지  예정",,,,,,,
17,,,실기평가,2025.1.9.(목)  ~  1.11.(토),,,,,,,,,
17,,,면접평가,2025.1.11.(토),,,,,,,,,
17,,"예능
계열",실기평가,2025.1.15.(수)  ~  1.22.(수),서울캠퍼스  지정  장소,"·  음악대학  전  모집단위  해당
·  구체적인  일정은  1.13.(월)까지
    입학처  홈페이지에  공지  예정",,,,,,,
17,2단계  평가대상자  발표,,,2025.1.12.(일),연세대학교  입학처  홈페이지,"·  의예과,  국제계열  지원자에  한함",,,,,,,
17,의예과  면접평가,,,2025.1.14.(화),서울캠퍼스  지정  장소,"·  의예과  2단계  평가(면접)대상자
·  면접장소는  2단계  평가대상자  발표  시
  공지  예정",,,,,,,
17,국제계열  면접평가,,,2025.1.14.(화),서울캠퍼스  지정  장소,"·  국제계열  2단계  평가(면접)대상자
·  면접장소는  2단계  평가대상자  발표  시
  공지  예정",,,,,,,
17,합격자  발표,,,2025.2.7.(금)  14:00,연세대학교  입학처  홈페이지,,,,,,,,
17,합격자  등록,,,2025.2.10.(월)  ~  2.12.(수)  16:00,합격자  발표  시  상세  안내,"·  등록금은  입금전용계좌로  송금  (인터넷
뱅킹,  계좌이체,  폰뱅킹  등)  해야  함",,,,,,,
17,"추가합격자
발표 
및  등록",1차,발표,2025.2.13.(목)  08:00,"발표:  연세대학교  입학처  홈페이지
등록:  합격자  발표  시  상세  안내","·  등록금은  입금전용계좌로  송금  (인터넷
뱅킹,  계좌이체,  폰뱅킹  등)  해야  함
·  등록에  관한  자세한  내용은  합격자  발
표  시  안내",,,,,,,
17,,,등록,2025.2.13.(목)  09:30  ~  14:00,,,,,,,,,
17,,2차,발표,2025.2.14.(금)  08:00,,,,,,,,,
17,,,등록,2025.2.14.(금)  09:30  ~  14:00,,,,,,,,,
17,,3차,발표,2025.2.17.(월)  08:00,,,,,,,,,
17,,,등록,2025.2.17.(월)  09:30  ~  14:00,,,,,,,,,
17,,4차,발표,2025.2.18.(화)  08:00,,,,,,,,,
17,,,등록,2025.2.18.(화)  09:30  ~  14:00,,,,,,,,,
17,,"5차
이후",발표,2025.2.19.(수)  09:00  ~  18:00,개별통보(전화충원),"·  등록금은  입금전용계좌로  송금  (인터넷
뱅킹,  계좌이체,  폰뱅킹  등)  해야  함
·  상세한  입금마감  시간은  합격자  발표 
시  개별  안내",,,,,,,
17,,,등록,"2025.2.19.(수)  11:00
    ~  2.20.(목)  16:00",합격자  발표  시  상세  안내,,,,,,,,
19,정원  내,일반계열,"30,000",-,"29,000",일괄합산  전형,,,,,,,
19,,일반계열(의예),"50,000","15,000","49,000",단계별  전형,,,,,,,
19,,국제계열,"50,000","15,000","49,000",단계별  전형,,,,,,,
19,,체능계열,"95,000",-,"94,000",일괄합산  전형,,,,,,,
19,,"교회음악과,  작곡과,  관현악과(관악)
예능
계열
성악과,  피아노과,  관현악과(현악)","95,000
95,000","-
15,000","94,000
94,000","일괄합산  전형
단계별  전형",,,,,,,
19,,,,,,,,,,,,,
19,정원  외,"연세한마음학생  일반계열,  체능계열","1,000",-,-,일괄합산  전형,,,,,,,
19,,"일반계열(의예  제외)
농어촌학생
  일반계열(의예)
예·체능계열","30,000
50,000
95,000","-
15,000
-","29,000
49,000
94,000","일괄합산  전형
단계별  전형
일괄합산  전형",,,,,,,
19,,,,,,,,,,,,,
19,,,,,,,,,,,,,
19,,특성화고교졸업자  일반계열,"30,000",-,"29,000",일괄합산  전형,,,,,,,
19,,특수교육대상자  예·체능계열,"95,000",-,"94,000",일괄합산  전형,,,,,,,
23,"유형  Ⅰ
(인문)",인문계열  모집단위,"국어,  수학,  영어,
사회탐구/과학탐구ⓑ,  한국사","사회탐구  과목  응시  시  해당과목의 
탐구변환점수에  3%  가산점  추가",,,,,,,,,
23,"유형  Ⅱ
[자연(의예  제외)]","자연계열  모집단위
(의예과  제외)",,"과학탐구  과목  응시  시  해당과목의 
탐구변환점수에  3%  가산점  추가",,,,,,,,,
23,"유형  Ⅲ
(통합)","생활과학대학,  간호대학",,별도  가산점  없음,,,,,,,,,
24,"유형  Ⅰ
(인문)",300ⓑ,200,100ⓒ,200,"1,000
(총점×1,000/800)",,,,,,,
24,"유형  Ⅱ
[자연(의예  제외)]",200,300ⓓ,,300ⓔ,"1,000
(총점×1,000/900)",,,,,,,
24,"유형  Ⅲ
(통합)",200,200,,100ⓕ,"1,000
(총점×1,000/600)",,,,,,,
25,"유형  Ⅱ
(의예)",의예과,"국어,  수학,  영어,
사회탐구/과학탐구ⓐ,  한국사","과학탐구  과목  응시  시  해당과목의 
탐구변환점수에  3%  가산점  추가",,,,,,,,,
25,"유형  Ⅲ
(국제)",언더우드국제대학,,별도  가산점  없음,,,,,,,,,
25,단계별  전형,의예과,1단계,250%,900,-,900,,,,,,
25,,,2단계,100%,900,100,"1,000",,,,,,
25,,"언더우드
국제대학",1단계,300%,900,-,900,,,,,,
25,,,2단계,100%,900,100,"1,000",,,,,,
26,"유형  Ⅱ
(의예)",200,300ⓑ,100ⓒ,300ⓓ,900,,,,,,,
26,"유형  Ⅲ
(국제)",,200,,100ⓔ,"900
(총점×900/600)",,,,,,,
26,Part.1,현장  대면  면접,"지원자  1명을  대상으로  복수의  평가위원이 
면접을  실시함","제시문을  바탕으로  의학  전공에 
필요한  인·적성을  평가함",,,,,,,,,
26,Part.2,현장  비대면  녹화  면접,"면접  당일  지원자가  현장에서  녹화한  영상을 
복수의  평가위원이  평가함","제시문을  바탕으로  대학  수학에 
필요한  기본  학업역량을  평가함",,,,,,,,,
27,"유형  Ⅱ
(의예)
Part.2",수학,,"수학,  기본  수학,  수학Ⅰ,  수학Ⅱ,  미적분,  확률과  통계,  실용  수학, 
기하,  경제  수학,  수학과제  탐구",,"·  2015  개정  교육과정  보통 
교과(공통  과목,  일반  선택,  진로 
선택)
·  2015  개정  교육과정  내의  타 
교과(군)의  보통  교과  내용이 
포함될  수  있음
※  수리・통계자료  또는 
과학관련  제시문이  포함될  수 
있음",,,,,,,
27,,과학,물리학,"물리학Ⅰ,  물리학Ⅱ","통합과학,  과학탐구실험,  과학사, 
생활과  과학,  융합과학",,,,,,,,
27,,,화학,"화학Ⅰ,  화학Ⅱ",,,,,,,,,
27,,,생명과학,"생명과학Ⅰ,  생명과학Ⅱ",,,,,,,,,
27,,,지구과학,"지구과학Ⅰ,  지구과학Ⅱ",,,,,,,,,
27,"유형  Ⅲ
(국제)",국어,,"국어,  화법과  작문,  독서,  언어와  매체,  문학,  실용  국어,  심화  국어, 
고전  읽기",,,,,,,,,
27,,영어,,"영어,  기본  영어,  영어  회화,  영어Ⅰ,  영어  독해와  작문,  영어Ⅱ,  실용 
영어,  영어권  문화,  진로  영어,  영미  문학  읽기",,,,,,,,,
27,,"사회
(역사,  도덕  포함)",,"통합사회,  한국지리,  세계지리,  세계사,  동아시아사,  경제,  정치와  법, 
사회・문화,  생활과  윤리,  윤리와  사상,  여행지리,  사회문제  탐구, 
고전과  윤리,  한국사",,,,,,,,,
29,항목,측정분야,배점,,,,,,,,,,
29,달리기,왕복달리기  (25m  왕복:  100m),34점,,,,,,,,,,
29,뛰기,제자리  멀리뛰기,33점,,,,,,,,,,
29,던지기,"메디신  볼  던지기  (남:  3kg,  여:  2kg)",33점,,,,,,,,,,
30,배점,"남자
(초)","여자
(초)",,,,,,,,,,
30,34,16초99이하,18초99이하,,,,,,,,,,
30,33,17초00~17초39,19초00~19초39,,,,,,,,,,
30,31,17초40~17초79,19초40~19초79,,,,,,,,,,
30,29,17초80~18초19,19초80~20초19,,,,,,,,,,
30,27,18초20~18초59,20초20~20초59,,,,,,,,,,
30,25,18초60~18초99,20초60~20초99,,,,,,,,,,
30,23,19초00~19초39,21초00~21초39,,,,,,,,,,
30,21,19초40~19초79,21초40~21초79,,,,,,,,,,
30,19,19초80~20초19,21초80~22초19,,,,,,,,,,
30,17,20초20~20초59,22초20~22초59,,,,,,,,,,
30,15,20초60~20초99,22초60~22초99,,,,,,,,,,
30,13,21초00~21초39,23초00~23초39,,,,,,,,,,
