Page,0,1,2,3,4,5,6,7,8,9,10,11
16,,,자연,컴퓨터공학부,47,,,,,,,
16,,,자연,공과대학자유전공학부,60,,,,,,,
16,,융합과학기술원,자연,시스템생명공학과,11,,,,,,,
16,,,자연,융합생명공학과,11,,,,,,,
16,,예술디자인대학 예체능,,산업디자인학과,34,,,,,,,
16,다군 총합계,,,,226,,,,,,,
16,모 집 군,단과대학,계열,모집단위,인원,,,,,,,
16,가 군,이과대학,자연,물리학과,12,,,,,,,
16,,건축대학,자연,건축학부,39,,,,,,,
16,,공과대학,자연,기계·로봇·자동차공학부,37,,,,,,,
16,,,자연,화공·생명·에너지공학부,30,,,,,,,
16,,,자연,재료공학과,26,,,,,,,
16,,,자연,항공우주·모빌리티공학과,25,,,,,,,
16,,,자연,생물공학과,15,,,,,,,
16,,사회과학대학,인문,국제무역학과,32,,,,,,,
16,,경영대학,인문,기술경영학과,15,,,,,,,
16,,수의과대학,자연,수의예과,39,,,,,,,
16,,예술디자인대학,예체능,현대미술학과,32,,,,,,,
16,,,예체능,영상학과,35,,,,,,,
16,,사범대학,인문,일어교육과,3,,,,,,,
16,,,자연,수학교육과,8,,,,,,,
16,,,인문,영어교육과,8,,,,,,,
16,,상허교양대학,"인문/
자연",KU자유전공학부,60,,,,,,,
16,가군 총합계,,,,416,,,,,,,
17,"모 집 군
단과대학",,"계열
모집단위",,인원,,,,,,,
17,나 군,문과대학,인문,국어국문학과,6,,,,,,,
17,,,인문,영어영문학과,6,,,,,,,
17,,,인문,중어중문학과,5,,,,,,,
17,,,인문,철학과,3,,,,,,,
17,,,인문,사학과,4,,,,,,,
17,,,인문,지리학과,3,,,,,,,
17,,,인문,미디어커뮤니케이션학과,5,,,,,,,
17,,,인문,문화콘텐츠학과,6,,,,,,,
17,,이과대학,자연,수학과,8,,,,,,,
17,,,자연,화학과,9,,,,,,,
17,,공과대학,자연,사회환경공학부,42,,,,,,,
17,,,자연,산업공학과,16,,,,,,,
17,,사회과학대학,인문,정치외교학과,13,,,,,,,
17,,,인문,경제학과,32,,,,,,,
17,,,인문,행정학과,25,,,,,,,
17,,,인문,응용통계학과,18,,,,,,,
17,,,인문,사회과학대학융합전공학부,2,,,,,,,
17,,경영대학,인문,경영학과,65,,,,,,,
17,모 집 군,단과대학,계열,"모집단위
인원",,,,,,,,
17,나 군,부동산과학원,인문,부동산학과,14,,,,,,,
17,,융합과학기술원,자연,첨단바이오공학부,19,,,,,,,
17,,생명과학대학,자연,동물자원·식품과학·유통학부,42,,,,,,,
17,,,자연,환경보건·산림조경학부,23,,,,,,,
17,,,자연,생명과학특성학과,12,,,,,,,
17,,,자연,식량자원과학과,12,,,,,,,
17,,예술디자인대학,예체능,커뮤니케이션디자인학과,39,,,,,,,
17,,,인문,의상디자인학과–인문계,17,,,,,,,
17,,,예체능,의상디자인학과–예체능계,17,,,,,,,
17,,,예체능,리빙디자인학과,45,,,,,,,
17,,사범대학,예체능,체육교육과,25,,,,,,,
17,,,예체능,음악교육과–성악,7,,,,,,,
17,,,예체능,음악교육과–피아노,7,,,,,,,
17,,,예체능,음악교육과–바이올린,4,,,,,,,
17,,,예체능,음악교육과–비올라,1,,,,,,,
17,,,예체능,음악교육과–첼로,1,,,,,,,
17,,,인문,교육공학과,13,,,,,,,
17,나군 총합계,,,,566,,,,,,,
18,모집군,모집단위,수능(비율),실기(비율),합계(비율),,,,,,,
18,가군,인문계/자연계 모집단위,"1,000(100%)",–,"1,000(100%)",,,,,,,
18,,KU자유전공학부,,,,,,,,,,
18,,매체연기학과*,,,,,,,,,,
18,,현대미술학과,600(60%),400(40%),"1,000(100%)",,,,,,,
18,,영상학과,,,,,,,,,,
18,나군,인문계/자연계 모집단위,"1,000(100%)",–,"1,000(100%)",,,,,,,
18,,의상디자인학과–인문계,,,,,,,,,,
18,,커뮤니케이션디자인학과,600(60%),400(40%),"1,000(100%)",,,,,,,
18,,의상디자인학과–예체능계,,,,,,,,,,
18,,리빙디자인학과,,,,,,,,,,
18,,체육교육과,,,,,,,,,,
18,,음악교육과,,,,,,,,,,
18,다군,인문계/자연계 모집단위,"1,000(100%)",–,"1,000(100%)",,,,,,,
18,,산업디자인학과,600(60%),400(40%),"1,000(100%)",,,,,,,
18,모집군,모집단위,수능,,,,실기,,,,,
18,,,"최고
최저",,차이,"실질
반영비율",최고,최저,차이,"실질
반영비율",,
18,가군,인문계/자연계 모집단위,"1,000",0,"1,000",100%,–,–,–,–,,
18,,KU자유전공학부,,,,,,,,,,
18,,매체연기학과*,,,,,,,,,,
18,,현대미술학과,600,0,600,60%,400,0,400,40%,,
18,,영상학과,,,,,,,,,,
18,나군,인문계/자연계 모집단위,"1,000",0,"1,000",100%,–,–,–,–,,
18,,의상디자인학과–인문계,,,,,,,,,,
18,,커뮤니케이션디자인학과,600,0,600,60%,400,0,400,40%,,
18,,의상디자인학과–예체능계,,,,,,,,,,
18,,리빙디자인학과,,,,,,,,,,
18,,체육교육과,,,,,,,,,,
18,,음악교육과,,,,,,,,,,
18,다군,인문계/자연계 모집단위,"1,000",0,"1,000",100%,–,–,–,–,,
18,,산업디자인학과,600,0,600,60%,400,0,400,40%,,
19,모집단위,실기고사 과목,준비사항/비고,,,,,,,,,
19,커뮤니케이션디자인학과,"[기초디자인]
• 용지: 화용지(용지의 크기는 출제 시 제시함)
• 출제내용:  기초 조형능력을 평가할 수 있는 
주제해석과 표현","• 모든 표현 재료 및 도구 사용 허용 
(※ 단, 입체적 첨가 형식의 재료(유화 포함)  
사용은 불허함)",,,,,,,,,
19,산업디자인학과,,,,,,,,,,,
19,의상디자인학과–예체능계,,,,,,,,,,,
19,리빙디자인학과,,,,,,,,,,,
19,영상학과,,,,,,,,,,,
19,현대미술학과,"[인체색채소묘]
• 용지: 화용지(2절: 79×54㎝)
• 출제내용:  인체 전신을 채색 재료로 표현 
(※ 복장을 착용한 인물 사진 
(이미지)과 정물 제시)",,,,,,,,,,
19,음악교육과,성악전공,"• 이태리 가곡 1곡
• 독일 가곡 1곡",• 암보하여 원어로 부름,,,,,,,,
19,,피아노전공,"• Etude나 이에 준하는 1곡
• 위의 사항에 중복되지 않는 자유곡",• 반복 없이 암보하여 연주,,,,,,,,
19,,현악전공,• 자유곡 1곡(7분 내외),• 반복 없이 암보하여 연주,,,,,,,,
20,골반,• 골반이 들리지 않음,• 골반 반동 시,,,,,,,,,
20,양팔,"• 양팔이 모두  
무릎 위에 닿음","• 한쪽 팔만  
닿은 경우",,,,,,,,,
20,팔꿈치,"• 팔꿈치가  
무릎 위에 있음","• 팔꿈치가 무릎  
아래에 있는 경우
• 팔꿈치가 무릎에  
닿지 않는 경우",,,,,,,,,
20,어깨,"• 어깨가 바닥에  
완전히 닿음","• 어깨가 바닥에  
닿지 않는 경우",,,,,,,,,
20,손깍지 • 손깍지가 온전함,,"• 깍지 풀림
• 머리 잡기
• 정수리 잡는 경우",,,,,,,,,
20,"모집단위
실기고사 과목
종목별 실시방법",,,파울 기준,,,,,,,,
20,"체육
교육과","20m왕복달리기
(20m×4회)","• 가번호 호명 시 자신의 가번호를 복창한다.
• 준비 완료 시 출발 자세로 대기한다.
• 부저가 울리면 출발한다.
• 반환점에서 버튼 터치 후 반환한다.
• 피니쉬 지점에서 센서 안으로 통과한다.","• 2회 이상 파울 시 40점 부여
   – 출발 자세에서 몸과 발이 움찔거리는 경우
   – 예측 출발을 하거나 출발신호가 울리기 전  
출발하는 경우
   – 발이 출발선을 넘어간 채로 출발하는 경우
   – 발이 선을 넘지 않은 채로 부저를 터치하는 경우
   – 부저를 눌렀을 때 불이 들어오지 않거나, 바닥에  
손을 짚거나, 손과 팔이 다른 신체에 닿는 경우
• 부상으로 인한 중도포기 또는 기타 사유로 인해  
응시를 포기하는 경우는 최저점수인 0점으로 기록",,,,,,,,
20,,육상: 높이뛰기,"• 가번호 호명 시 자신의 가번호를 복창한다.
• 준비 완료 시 바로 시작한다.
• 총 1회 실시이지만 실패 시 1회 다시 시도할 수 있다.
• 바 높이는 10cm 단위, 170cm 이하로 자유롭게  
설정할 수 있다.  
(한번 설정한 바 높이는 변경 불가능)
• 도움닫기 후에 바를 넘지 않아도 1회 실시로 간주한다.","• 부상으로 인한 중도포기 또는 기타 사유로 인해  
응시를 포기하는 경우는 최저점수인 0점으로 기록",,,,,,,,
20,,"기계체조: 
핸드스프링","• 가번호 호명 시 자신의 가번호를 복창한다.
• 준비 완료 시 바로 시작한다.
• 핸드스프링은 총 2회 실시한다.
• 도움닫기와 동시에 1회 실시로 간주한다.
• 매트가 미끄러울 수 있으니 주의한다.","• 부상으로 인한 중도포기 또는 기타 사유로 인해  
응시를 포기하는 경우는 최저점수인 0점으로 기록",,,,,,,,
20,,"농구: 
레이업 슛, 
점프 슛","• 가번호 호명 시 자신의 가번호를 복창한다.
• 남학생은 7호공으로 실시하고, 여학생은 6호공,  
7호공 중 선택할 수 있다.
• 준비 완료 시 바로 시작한다.
• 왼손 드리블 및 왼손 레이업 슛 1회를 실시한다.
• 오른손 드리블 및 오른손 레이업 슛 1회를 실시한다.
• 보조자의 패스를 받아 점프 슛 2회를 실시한다.
• 반드시 빨간선 뒤에서 패스를 받아 점프 슛을 실시한다. 
(남자 6m, 여자 4m)","• 부상으로 인한 중도포기 또는 기타 사유로 인해  
응시를 포기하는 경우는 최저점수인 0점으로 기록",,,,,,,,
20,,"윗몸일으키기
(60초)","• 가번호 호명 시 자신의 가번호를 복창한다.
• 연습 3회 실시 후 기구를 자신의 몸에 맞춰  
조절하도록 요청한다.
• 윗몸일으키기는 60초간 실시한다.","•	파울	시	총	측정	개수에	미포함한다.
구분
정상 자세
파울
골반
양팔
팔꿈치
어깨
•	부상으로	인한	중도포기	또는	기타	사유로	인해	응시를	
포기하는	경우는	최저점수인	0점으로	기록","• 골반이 들리지 않음
• 양팔이 모두  
무릎 위에 닿음
• 팔꿈치가  
무릎 위에 있음
• 어깨가 바닥에  
완전히 닿음
손깍지 • 손깍지가 온전함","• 골반 반동 시 
• 한쪽 팔만  
닿은 경우 
• 팔꿈치가 무릎  
아래에 있는 경우
• 팔꿈치가 무릎에  
닿지 않는 경우
• 어깨가 바닥에  
닿지 않는 경우
• 깍지 풀림
• 머리 잡기
• 정수리 잡는 경우",,,,,,
20,,,,,,,,,,,,
20,,,,,,,,,,,,
20,,,,,,,,,,,,
20,,,,,,,,,,,,
20,,,,,,,,,,,,
20,,,,,,,,,,,,
21,대상,,제출서류,,,,,,,,,
21,"국내 정규 고등학교 
졸업(예정)자","학생부 온라인 제공 
동의자","• 서류제출(PDF 업로드) 불필요
   ※ 대상: 2022년 2월 ~ 2026년 2월 졸업(예정)자
   ※  2005년 2월 ~ 2021년 2월 졸업자 중 희망자의 경우 온라인 생성  
신청 시스템(apply.neis.go.kr)을 통해 대입전형자료 온라인 신청 가능",,,,,,,,,
21,,"학생부 온라인 제공 
미동의자 및 불가자","• 대입전형용 학교생활기록부 1부
• 교육기관(초·중·고교), 공공기관, 무인민원발급기, 인터넷 발급
• 원서접수 사이트에서 서류제출(PDF 업로드)",,,,,,,,,
21,"고등학교 졸업학력 
검정고시 출신자1)","검정고시 자료 온라인 제공 
동의자","• 서류제출(PDF 업로드) 불필요
   ※  대상: 2017년 1회차 ~ 2025년 2회차 합격자
   ※   해당 시·도교육청 나이스 검정고시 홈페이지(https://kged.go.kr/)에 접속하여 
대입전형자료 제공 신청",,,,,,,,,
21,,"검정고시 자료 온라인 제공 
미동의자 및 불가자","• 고등학교 졸업학력 검정고시 합격증명서(대입전형용) 1부
• 원서접수 사이트에서 서류제출(PDF 업로드)",,,,,,,,,
21,국외 고등학교 출신자1),,"• 국외 고등학교 졸업(예정)증명서 1부
• 국외 고등학교 성적증명서 1부
   ※ 국외 고교 출신자 제출서류 안내(p.33) 필독
• 원서접수 사이트에서 서류제출(PDF 업로드)",,,,,,,,,
22,모 집 군,단과대학,계열,모집단위,인원,,,,,,,
22,가 군,문과대학,인문,문과대학자유전공학부,4,,,,,,,
22,,이과대학,자연,물리학과,2,,,,,,,
22,,건축대학,자연,건축학부,2,,,,,,,
22,,공과대학,자연,기계·로봇·자동차공학부,2,,,,,,,
22,,,자연,화공·생명·에너지공학부,2,,,,,,,
22,,,자연,재료공학과,1,,,,,,,
22,,,자연,항공우주·모빌리티공학과,1,,,,,,,
22,,,자연,생물공학과,1,,,,,,,
22,,사회과학대학,인문,국제무역학과,1,,,,,,,
